name,brand,price,deal_price,final_price,description,image_thumbnail,sku,seller,stock,product_rating,fetched_at
Rechargeable Gaming Mouse - Black,,40000,,,[object Object],/U/Z/57289_1746887552.jpg,6742662,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 9}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Magic Keyboard With Touch Id- Wireless- Bluetooth- Rechargeable- Works With Mac PC,,420000,,,[object Object],/U/D/57289_1739612165.jpg,6671976,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 19}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Atheris Ambidextrous Wireless Mouse,Razer,254000,,,[object Object],/D/W/57289_1727278633.jpg,6566277,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Naga Pro Wireless Gaming Mouse - Black,Razer,339000,,,[object Object],/V/W/57289_1727278316.jpg,6566276,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
H390 Wired Stereo Headset With Noise-cancelling Microphone,Logitech,64000,,,[object Object],/A/N/57289_1727282309.jpg,6565629,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Prodesk Adjustable Laptop Stand,Nillkin,60000,,,[object Object],/Q/O/57289_1671533896.jpg,6037430,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 14}","{'quality': {'average': 5, 'number_of_ratings': 1}}",2025-11-11 19:49:08
Ascent Stand For Laptops,Nillkin,17400,,,[object Object],/Q/M/57289_1671534398.jpg,6037417,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Powerology - 11 In 1 Usb-c Hub,,150000,,,[object Object],/J/J/57289_1670940117.jpg,5960973,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Certified Magic Mouse 2 - Space Gray,Apple,155000,,,[object Object],/P/B/57289_1649693122.jpg,5693202,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
"Charger Adapter For 13"" MacBook Pros - 61w",Apple,115000,,,[object Object],/L/P/57289_1649772707.jpg,5692861,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Macbook Charger 85w,Apple,140000,,,[object Object],/F/I/57289_1649773442.jpg,5692860,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Mx Keys,Logitech,300000,,,[object Object],/O/U/57289_1637325218.jpg,5531664,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Card Reader Rdf9,Transcend,64000,,,[object Object],/S/Z/57289_1637252349.jpg,5531393,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 18}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Mx Master 3 Advanced Wireless Mouse,Logitech,300000,,,[object Object],/E/O/57289_1637251370.jpg,5530775,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Wireless Rechargable Magic Keyboard - Silver,Apple,265000,,,[object Object],/D/O/57289_1636974950.jpg,5528759,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Wireless Rechargable Magic Mouse  - Silver,Apple,210000,,,[object Object],/J/E/57289_1636973504.jpg,5528749,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 18}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
60W Magsafe Power Adapter,Apple,127000,,,[object Object],/R/Y/57289_1636972886.jpg,5528748,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
